,episode_reward,nb_episode_steps,nb_steps
279,-100.70525337645098,225,23366
280,96.97858636825569,141,23507
281,-101.23364288635673,219,23726
282,-100.53407400550151,230,23956
283,-101.45405591731492,193,24149
284,-102.9160019737854,234,24383
285,-197.27000353008683,16,24399
286,136.06258660680737,101,24500
287,-117.3088548280253,31,24531
288,-100.99753569044076,219,24750
289,-102.15200498489907,225,24975
290,-100.79976620970952,23,24998
291,-109.96211160980764,22,25020
292,-100.68493065144371,238,25258
293,-100.28527736350513,232,25490
294,-100.37747250008026,236,25726
295,-114.28135781559997,29,25755
296,-112.55438749692568,30,25785
297,-107.94167085982052,23,25808
298,-128.86938960175678,44,25852
299,-113.43081743160415,31,25883
300,-121.729560102997,35,25918
301,-110.4826983788873,26,25944
302,-197.4247834334849,15,25959
303,123.22061701982561,114,26073
304,69.77919649236554,169,26242
305,17.977437069033172,221,26463
306,-103.73505757993841,227,26690
307,107.99242856408968,130,26820
308,-100.44257573358607,230,27050
309,-173.38086114310013,65,27115
310,-161.73873462212072,53,27168
311,-169.84280860248418,62,27230
312,-196.7822982494841,89,27319
313,38.76230580631287,199,27518
314,-101.891927431752,17,27535
315,-195.38436913830978,17,27552
316,59.616605297278014,179,27731
317,94.33858008745301,144,27875
318,-165.1495993296415,58,27933
319,101.92917959742499,135,28068
320,79.16130619339194,160,28228
321,-153.96417956672514,54,28282
322,-141.31459444070526,41,28323
323,-198.93839580377443,13,28336
324,-100.47167446649546,233,28569
325,-192.90013451715225,17,28586
326,-103.49876360710887,25,28611
327,-197.56002138080817,12,28623
328,-112.62821767963669,28,28651
329,-100.69047931831618,16,28667
330,-101.94024605240816,18,28685
331,-101.16219638684379,12,28697
332,-106.32036949934242,24,28721
333,-100.6530213332301,237,28958
334,-100.07526004745039,17,28975
335,17.07967363367156,222,29197
336,-199.23169164003744,17,29214
337,32.08693958158841,205,29419
338,49.81418954460555,187,29606
339,-106.95286702245518,28,29634
340,-104.52153039591151,20,29654
341,-106.92209003381738,21,29675
342,-109.57380270479291,24,29699
343,-100.56900765358624,14,29713
344,-195.24799512519704,12,29725
345,-104.45087349987992,22,29747
346,-111.65170896832788,24,29771
347,31.18841534911806,208,29979
