,episode_reward,nb_episode_steps,nb_steps
166,1009.2469314227453,50,10717
167,-112.45393260872868,11,10728
168,-263.61897890707223,59,10787
169,-858.0091759644421,72,10859
170,-112.55836104907192,12,10871
171,-115.65654855778502,11,10882
172,-358.24044263247157,27,10909
173,5973.640776840038,129,11038
174,-117.23006114170747,10,11048
175,-119.08314455716572,10,11058
176,2552.3500365109844,81,11139
177,3978.4080228457988,94,11233
178,-117.23974159054126,10,11243
179,-117.24723389294036,10,11253
180,-324.1278869669261,25,11278
181,-134.83369719423646,13,11291
182,-194.5637803299314,21,11312
183,-100.14480141911017,8,11320
184,-117.24083549423182,10,11330
185,-109.44711197672876,14,11344
186,-127.21664970888469,13,11357
187,-98.93214790585469,9,11366
188,-98.91412756166224,9,11375
189,-110.53600964142987,11,11386
190,-110.60767665276282,11,11397
191,-98.81768470340256,9,11406
192,3776.9677641827343,69,11475
193,-147.5243812228249,15,11490
194,21.942855011869028,96,11586
195,-158.7046208095597,15,11601
196,-99.90822920186739,9,11610
197,-103.84777730187346,11,11621
198,-208.96874867266064,19,11640
199,-137.73584286850667,15,11655
200,-140.7408461172261,16,11671
201,436.0449438276494,45,11716
202,2218.7124890859654,121,11837
203,-187.02822086409003,19,11856
204,3571.6640445948683,92,11948
205,5305.81473689352,116,12064
206,-317.8921303749197,26,12090
207,-13493.071074283172,249,12339
208,-808.2308177477736,98,12437
209,-240.1602995733989,63,12500
210,-66.53699254301458,12,12512
211,-224.92189549390878,27,12539
212,-416.29458567670474,30,12569
213,473.26448440139006,66,12635
214,-114.80983272977801,16,12651
215,-172.53601167525628,65,12717
216,-1344.2957739015308,73,12790
217,-186.48289710885246,75,12865
218,-140.336430529913,18,12883
219,3190.38113340926,131,13014
220,38.97984965774668,85,13099
221,2517.489518958081,211,13310
222,3571.9083781277877,137,13447
223,-881.2506048369057,74,13521
224,3147.4440198604834,160,13681
