número evaluacion;episode_reward;nb_episode_steps;nb_steps
151;-446,4534876512855;51;8497
;,;;
152;-109,66625896417074;17;8514
;,;;
153;-264,46769573031185;28;8542
;,;;
154;-312,9475498424832;43;8585
;,;;
155;-971,5857431060842;50;8635
;,;;
156;-97,17691177919747;11;8646
;,;;
157;-311,17951677457745;30;8676
;,;;
158;-334,263872174021;29;8705
;,;;
159;-329,37330142417886;29;8734
;,;;
160;-449,6441555835221;34;8768
;,;;
161;-177,6138316101707;21;8789
;,;;
162;-441,8893567927106;41;8830
;,;;
163;-340,56208293034706;27;8857
;,;;
164;-144,3374347965393;39;8896
;,;;
165;-342,94283754468734;30;8926
;,;;
166;-287,62133754377004;25;8951
;,;;
167;-141,6396549196273;13;8964
;,;;
168;-130,73042807957813;17;8981
;,;;
169;-319,4057680412643;30;9011
;,;;
170;-232,1716453449433;19;9030
;,;;
171;-881,4093327311933;57;9087
;,;;
172;-303,86449283161704;40;9127
;,;;
173;-143,2174722484557;20;9147
;,;;
174;-176,86591092554627;20;9167
;,;;
175;-1748,3217903414734;66;9233
;,;;
176;-124,26307354326775;36;9269
;,;;
177;-180,98346152531732;20;9289
;,;;
178;-153,61985471105706;21;9310
;,;;
179;-68,994201790974;33;9343
;,;;
180;-614,1444634818822;37;9380
;,;;
181;-869,4424205429331;45;9425
;,;;
182;-107,48342384477019;12;9437
;,;;
183;-259,36135958708604;31;9468
;,;;
184;-243,2528473811479;22;9490
;,;;
185;-119,49030688440664;15;9505
;,;;
186;-6485,71534099042;135;9640
;,;;
187;-182,94455480140348;18;9658
;,;;
188;-197,2961418158673;21;9679
;,;;
189;-264,7338567327837;27;9706
;,;;
190;-190,28516840741838;22;9728
;,;;
191;-1094,1442964491766;47;9775
;,;;
192;-1282,4939064826103;59;9834
;,;;
193;-575,1593409078391;43;9877
;,;;
194;-127,5554424300178;17;9894
;,;;
195;-185,840326058126;19;9913
;,;;
196;-119,6779681810929;15;9928
;,;;
197;-119,97280625709956;15;9943
;,;;
198;-126,72603632440658;19;9962
;,;;
199;-224,9030735798175;21;9983
;,;;
200;-114,50147825924455;12;9995
;,;;
201;-111,6472396302189;11;10006
;,;;
202;-108,10706392107534;12;10018
;,;;
203;-144,8033212425539;35;10053
;,;;
204;-81,98963972968303;18;10071
;,;;
205;-101,30465378939547;15;10086
;,;;
206;-609,9404368235233;35;10121
;,;;
207;-666,4115093001735;41;10162
;,;;
208;-90,6650584225724;37;10199
;,;;
209;-119,68433498942275;15;10214
;,;;
210;-121,29250576944418;10;10224
;,;;
211;-179,87267615155932;20;10244
;,;;
212;-120,13990632568479;15;10259
;,;;
213;-216,72322174410544;23;10282
;,;;
214;-313,5817735839369;27;10309
;,;;
215;-193,51053127675584;22;10331
;,;;
216;-179,61539547852428;34;10365
;,;;
217;-129,63224789654933;16;10381
;,;;
218;-228,892645722604;42;10423
;,;;
219;-522,1117920369767;37;10460
;,;;
220;-108,53857622072499;13;10473
;,;;
221;-209,11674356045714;29;10502
;,;;
222;-398,6803373949807;40;10542
;,;;
223;-568,9434598406285;38;10580
;,;;
224;-268,344087444312;23;10603
;,;;
225;-399,39340945514186;29;10632
;,;;
226;-322,9684791475772;32;10664
;,;;
227;-85,74261476130226;12;10676
;,;;
228;-3876,8631095952733;97;10773
;,;;
229;-73,44378305026837;17;10790
;,;;
230;-252,59389870123397;22;10812
;,;;
231;-312,1441006319055;23;10835
;,;;
232;-99,34496343252295;9;10844
;,;;
233;-400,7789475124092;32;10876
;,;;
234;-206,47799703123601;28;10904
;,;;
235;-76,45370911779204;17;10921
;,;;
236;-5384,589928817447;110;11031
;,;;
237;-1338,9359282492353;52;11083
;,;;
238;-139,73594804749052;16;11099
;,;;
239;-104,42795046466028;13;11112
;,;;
240;-189,52882483089346;20;11132
;,;;
241;-152,86388987480734;36;11168
;,;;
242;-248,9903377393906;22;11190
;,;;
243;-2622,628714592806;73;11263
;,;;
244;-110,64454988916046;14;11277
;,;;
245;-56,32940987569302;26;11303
;,;;
246;-76,84888680350664;15;11318
;,;;
247;-111,20645474210752;11;11329
;,;;
248;-131,64504902677447;17;11346
;,;;
249;-39,29960987705584;28;11374
;,;;
250;-367,4267580396883;26;11400
;,;;
251;-348,3061614613216;33;11433
;,;;
252;-121,76692827007605;16;11449
;,;;
253;-101,99379083542638;11;11460
;,;;
254;-104,81522958062487;11;11471
;,;;
255;-107,33166650832646;9;11480
;,;;
256;-104,68704760550995;10;11490
;,;;
257;-102,20205047095698;11;11501
;,;;
258;-102,4503791943398;11;11512
;,;;
259;-99,39124274377718;9;11521
;,;;
260;-139,74204114408036;16;11537
;,;;
261;-86,5365984581027;14;11551
;,;;
262;-132,40457897300152;15;11566
;,;;
263;-187,67283808388908;21;11587
;,;;
264;-187,65900643719198;18;11605
;,;;
265;-108,5876886308493;13;11618
;,;;
266;-375,9947335862047;33;11651
;,;;
267;-139,68294810179296;16;11667
;,;;
268;-143,1345445192081;16;11683
;,;;
269;-118,42010145880846;14;11697
;,;;
270;-223,10670820251207;23;11720
;,;;
271;-202,87499627561644;21;11741
;,;;
272;-136,6638500353756;20;11761
;,;;
273;-107,32963799095552;9;11770
;,;;
274;-101,89030639373067;11;11781
;,;;
275;-131,8204029276614;15;11796
;,;;
276;-193,7328145609391;19;11815
;,;;
277;-287,4437558714348;32;11847
;,;;
278;-124,95495869943983;15;11862
;,;;
279;-783,393632510333;48;11910
;,;;
280;-189,2909731721143;20;11930
;,;;
281;-205,7783918117365;21;11951
;,;;
282;-863,7899936990639;51;12002
;,;;
283;-73,22236169963074;32;12034
;,;;
284;-226,95837871245598;22;12056
;,;;
285;-850,220552677955;46;12102
;,;;
286;-700,531459464839;55;12157
;,;;
287;-263,232166258237;23;12180
;,;;
288;-115,94906324466834;13;12193
;,;;
289;-136,62015725710572;16;12209
;,;;
290;-2815,920404273966;82;12291
;,;;
291;-101,8163006670643;11;12302
;,;;
292;-37,995750187331;28;12330
;,;;
293;-136,74572707970898;14;12344
;,;;
294;-174,38760591245827;18;12362
;,;;
295;-68,34412972947143;26;12388
;,;;
296;-105,48318302691385;17;12405
;,;;
297;-102,5091549995075;11;12416
;,;;
298;-143,81009212565758;36;12452
;,;;
299;-102,41288268319249;14;12466
;,;;
300;-33,306519520297;22;12488
;,;;
301;-35,15374581585786;19;12507
;,;;
302;-38,53974296166075;27;12534
;,;;
303;-2,5900613090585690;31;12565
;,;;
304;-115,42838079351469;28;12593
;,;;
305;-101,93815685986152;11;12604
;,;;
306;-445,1716327799827;30;12634
;,;;
307;-75,31694476356847;30;12664
;,;;
308;-68,7547648056333;30;12694
;,;;
309;-47,267077074110375;16;12710
;,;;
310;-93,65997056573096;10;12720
;,;;
311;-153,87208012944;15;12735
;,;;
312;-265,59008348960856;20;12755
;,;;
313;-12,258638380138194;24;12779
;,;;
314;-103,85787638142276;10;12789
