;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
95;-111;-111,91422376312491;9,14224E+13;11;3844
;;;;;
96;-111;-111,91282409941033;9,12824E+13;11;3855
;;;;;
97;-112;-112,89564688712989;8,95647E+13;10;3865
;;;;;
98;-110;-110,95696044069888;9,5696E+13;12;3877
;;;;;
99;-112;-112,91181190316047;9,11812E+13;10;3887
;;;;;
100;-111;-111,9244023592893;9,24402E+12;11;3898
;;;;;
101;-133;-133,98877425323948;9,88774E+13;12;3910
;;;;;
102;-112;-112,18377463295565;1,83775E+13;8;3918
;;;;;
103;-126;-126,30195569152394;3,01956E+13;12;3930
;;;;;
104;-111;-111,92600825247771;9,26008E+13;11;3941
;;;;;
105;-112;-112,18921091057749;1,89211E+13;8;3949
;;;;;
106;-109;-109,39735114446839;3,97351E+13;8;3957
;;;;;
107;-125;-125,53095285135439;5,30953E+13;13;3970
;;;;;
108;-111;-111,94136833730164;9,41368E+13;11;3981
;;;;;
109;-121;-121,30047541738591;3,00475E+13;10;3991
;;;;;
110;-129;-129,37718786470674;3,77188E+13;13;4004
;;;;;
111;-109;-109,40819909993257;4,08199E+13;8;4012
;;;;;
112;-119;-119,92190873873471;9,21909E+13;10;4022
;;;;;
113;-109;-109,39720386721532;3,97204E+13;8;4030
;;;;;
114;-109;-109,41268567010948;4,12686E+13;8;4038
;;;;;
115;-132;-132,52329673783473;5,23297E+13;11;4049
;;;;;
116;-112;-112,92232325892752;9,22323E+13;10;4059
;;;;;
117;-113;-113,22807816787946;2,28078E+13;10;4069
;;;;;
118;-109;-109,39159482057403;3,91595E+13;8;4077
;;;;;
119;-109;-109,41526500671864;4,15265E+13;8;4085
;;;;;
120;-108;-108,25559730120386;2,55597E+13;13;4098
;;;;;
121;-98;-98,17599029367108;1,7599E+13;10;4108
;;;;;
122;-109;-109,39670210211611;3,96702E+13;8;4116
;;;;;
123;-108;-108,34941063101522;3,49411E+13;9;4125
;;;;;
124;-94;-94,59115471462925;5,91155E+13;10;4135
;;;;;
125;-121;-121,7892006693137;7,89201E+12;10;4145
;;;;;
126;-103;-103,5526802526006;5,5268E+12;11;4156
;;;;;
127;-109;-109,40379465152847;4,03795E+13;8;4164
;;;;;
128;-109;-109,35823875757282;3,58239E+13;8;4172
;;;;;
129;-109;-109,40061443934769;4,00614E+13;8;4180
;;;;;
130;-109;-109,40108487385805;4,01085E+13;8;4188
;;;;;
131;-109;-109,40249535488209;4,02495E+13;8;4196
;;;;;
132;-106;-106,90554831935518;9,05548E+13;9;4205
;;;;;
133;-105;-105,47132903758353;4,71329E+13;13;4218
;;;;;
134;-109;-109,4169191354197;4,16919E+12;8;4226
;;;;;
135;-116;-116,24615810688553;2,46158E+13;10;4236
;;;;;
136;-109;-109,44882081529482;4,48821E+13;8;4244
;;;;;
137;-109;-109,39615358854806;3,96154E+13;8;4252
;;;;;
138;-109;-109,39157537590401;3,91575E+13;8;4260
;;;;;
139;-109;-109,42394933510795;4,23949E+13;8;4268
;;;;;
140;-126;-126,4463039455485;4,46304E+12;10;4278
;;;;;
141;-111;-111,83872794029767;8,38728E+13;11;4289
;;;;;
142;-88;-88,59913781414053;5,99138E+13;10;4299
;;;;;
143;-106;-106,88836209026752;8,88362E+13;9;4308
;;;;;
144;-106;-106,89454001048853;8,9454E+13;9;4317
;;;;;
145;-124;-124,95394734621647;9,53947E+13;13;4330
;;;;;
146;-109;-109,40776680919814;4,07767E+13;8;4338
;;;;;
147;-109;-109,40628971629062;4,0629E+13;8;4346
;;;;;
148;-98;-98,34504078746383;3,45041E+13;10;4356
;;;;;
