;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
419;-98;-98,70212829433098;7,02128E+13;10;7930
;;;;;
420;-96;-96,32184058101797;3,21841E+13;9;7939
;;;;;
421;-162;-162,4884190261652;4,88419E+12;15;7954
;;;;;
422;-86;-86,16386514423522;1,63865E+13;12;7966
;;;;;
423;-117;-117,99416565457923;9,94166E+13;13;7979
;;;;;
424;-96;-96,33146297154093;3,31463E+13;9;7988
;;;;;
425;-98;-98,68091559976119;6,80916E+13;10;7998
;;;;;
426;-97;-97,29445643116341;2,94456E+13;11;8009
;;;;;
427;-98;-98,71133981030252;7,1134E+13;10;8019
;;;;;
428;-118;-118,23079601725385;2,30796E+13;15;8034
;;;;;
429;-98;-98,69088459423384;6,90885E+13;10;8044
;;;;;
430;-88;-88,60181262527823;6,01813E+13;11;8055
;;;;;
431;-209;-209,44433126028633;4,44331E+13;18;8073
;;;;;
432;-112;-112,86541647760956;8,65416E+13;13;8086
;;;;;
433;-108;-108,47955308474403;4,79553E+13;12;8098
;;;;;
434;-116;-116,327772730181;3,27773E+11;12;8110
;;;;;
435;-114;-114,82666625958552;8,26666E+13;12;8122
;;;;;
436;-178;-178,96628969619582;9,6629E+13;16;8138
;;;;;
437;-112;-112,83919698362001;8,39197E+13;13;8151
;;;;;
438;-63;-63,97093792603556;9,70938E+13;17;8168
;;;;;
439;-111;-111,26244236506389;2,62442E+13;14;8182
;;;;;
440;-92;-92,1111413817408;1,11141E+12;10;8192
;;;;;
441;-100;-100,58158560265522;5,81586E+13;12;8204
;;;;;
442;-96;-96,55877990019223;5,5878E+13;12;8216
;;;;;
443;-98;-98,66059665265757;6,60597E+13;10;8226
;;;;;
444;-98;-98,85557798952226;8,55578E+13;9;8235
;;;;;
445;-92;-92,13552577356447;1,35526E+13;10;8245
;;;;;
446;-100;-100,58591587424999;5,85916E+13;12;8257
;;;;;
447;-88;-88,87241295905966;8,72413E+13;12;8269
;;;;;
448;-86;-86,13208430399689;1,32084E+13;12;8281
;;;;;
449;-88;-88,61720583512911;6,17206E+13;11;8292
;;;;;
450;-114;-114,26322711545387;2,63227E+13;12;8304
;;;;;
451;-114;-114,43891721201845;4,38917E+13;9;8313
;;;;;
452;-120;-120,97746789205743;9,77468E+13;17;8330
;;;;;
453;-116;-116,28127261830016;2,81273E+13;11;8341
;;;;;
454;-92;-92,34621171428788;3,46212E+13;13;8354
;;;;;
455;-98;-98,73195353311897;7,31954E+13;10;8364
;;;;;
456;-97;-97,8093064302719;8,09306E+12;8;8372
;;;;;
457;-96;-96,71154892263752;7,11549E+13;11;8383
;;;;;
458;-98;-98,70506151749319;7,05062E+13;10;8393
;;;;;
459;-98;-98,74358657889067;7,43587E+13;10;8403
;;;;;
460;-273;-273,36505339252074;3,65053E+13;21;8424
;;;;;
461;-98;-98,71172350123462;7,11724E+13;10;8434
;;;;;
462;-98;-98,71196583861524;7,11966E+13;10;8444
;;;;;
463;-88;-88,21153743208401;2,11537E+13;10;8454
;;;;;
464;-88;-88,22757402863417;2,27574E+13;10;8464
;;;;;
465;-114;-114,80614196485755;8,06142E+13;10;8474
;;;;;
466;-172;-172,70521576216262;7,05216E+13;18;8492
;;;;;
467;-100;-100,62661103901809;6,26611E+13;12;8504
;;;;;
468;-98;-98,67943937898059;6,79439E+13;10;8514
;;;;;
469;-98;-98,66253773717557;6,62538E+13;10;8524
;;;;;
470;-453;-453,6771410453306;6,77141E+12;31;8555
;;;;;
471;-101;-101,26984610404253;2,69846E+13;12;8567
;;;;;
472;-110;-110,59835510775306;5,98355E+13;14;8581
;;;;;
473;-130;-130,9880719742775;9,88072E+12;21;8602
;;;;;
474;-110;-110,87264169487301;8,72642E+13;10;8612
;;;;;
475;-101;-101,2983823562227;2,98382E+12;12;8624
;;;;;
476;-97;-97,62404377991871;6,24044E+13;11;8635
;;;;;
477;-108;-108,26263248737189;2,62632E+13;14;8649
;;;;;
478;-101;-101,27277865912265;2,72779E+13;12;8661
;;;;;
479;-102;-102,20030783430227;2,00308E+13;13;8674
;;;;;
480;-112;-112,30864083576606;3,08641E+13;12;8686
;;;;;
481;-92;-92,18723857917433;1,87239E+13;10;8696
;;;;;
482;-98;-98,84105595824113;8,41056E+13;9;8705
;;;;;
483;-111;-111,21376763905789;2,13768E+13;14;8719
;;;;;
484;-97;-97,18862642720876;1,88626E+13;9;8728
;;;;;
485;-93;-93,94163390896301;9,41634E+13;15;8743
;;;;;
486;-100;-100,89406217062782;8,94062E+13;14;8757
;;;;;
487;-139;-139,31793744184617;3,17937E+13;13;8770
;;;;;
488;-93;-93,19445703622483;1,94457E+13;15;8785
;;;;;
489;-97;-97,58450696531048;5,84507E+13;11;8796
;;;;;
490;-101;-101,3897016680007;3,89702E+12;11;8807
;;;;;
491;-1017;-1017,41901466561;41901466561;59;8866
;;;;;
492;-118;-118,47849364929621;4,78494E+13;15;8881
;;;;;
493;-124;-124,27979411259267;2,79794E+13;17;8898
;;;;;
494;-98;-98,72430680614045;7,24307E+13;10;8908
;;;;;
495;-101;-101,42022155616587;4,20222E+13;11;8919
;;;;;
496;-142;-142,93024389933012;9,30244E+13;15;8934
;;;;;
497;-92;-92,7953504277242;7,9535E+12;10;8944
;;;;;
498;-96;-96,6048572559443;6,04857E+12;12;8956
;;;;;
499;-86;-86,21879537938344;2,18795E+13;12;8968
;;;;;
500;-295;-295,55180059804536;5,51801E+13;34;9002
;;;;;
501;-101;-101,4348134143847;4,34813E+12;11;9013
;;;;;
502;-101;-101,41718346111534;4,17183E+13;11;9024
;;;;;
503;-113;-113,46082352943745;4,60824E+13;13;9037
;;;;;
504;-280;-280,914012763076;9,14013E+11;33;9070
;;;;;
505;-94;-94,51903578908596;5,19036E+13;12;9082
;;;;;
506;-92;-92,12473867505676;1,24739E+13;10;9092
;;;;;
507;-111;-111,2093804311063;2,0938E+12;12;9104
;;;;;
508;-263;-263,8846294668671;8,84629E+12;29;9133
;;;;;
509;-98;-98,46669060299982;4,66691E+13;10;9143
;;;;;
510;-100;-100,60160525424027;6,01605E+13;12;9155
;;;;;
511;-111;-111,2038347055927;2,03835E+12;12;9167
;;;;;
512;-291;-291,3210828722765;3,21083E+12;24;9191
;;;;;
513;-84;-84,12136196276683;1,21362E+13;10;9201
;;;;;
514;-101;-101,27169517471836;2,71695E+13;12;9213
;;;;;
515;-101;-101,14163447706687;1,41634E+13;10;9223
;;;;;
516;-98;-98,69640228259348;6,96402E+13;10;9233
;;;;;
517;-162;-162,74415324230793;7,44153E+13;22;9255
;;;;;
518;-96;-96,53357268421769;5,33573E+13;12;9267
;;;;;
519;-119;-119,55854861705808;5,58549E+13;14;9281
;;;;;
520;-189;-189,49898853953786;4,98989E+13;20;9301
;;;;;
521;-96;-96,58594663028126;5,85947E+13;12;9313
;;;;;
522;-121;-121,61775852345806;6,17759E+13;14;9327
;;;;;
523;-156;-156,14583395777356;1,45834E+13;17;9344
;;;;;
524;-113;-113,1741040155485;1,74104E+12;12;9356
;;;;;
525;-100;-100,57167892588743;5,71679E+13;12;9368
;;;;;
526;-96;-96,59335080630967;5,93351E+13;12;9380
;;;;;
527;-106;-106,82265937616296;8,22659E+13;14;9394
;;;;;
528;-101;-101,74122343271503;7,41223E+13;22;9416
;;;;;
529;-111;-111,26277737108774;2,62777E+13;12;9428
;;;;;
530;-157;-157,41893443458767;4,18934E+13;20;9448
;;;;;
531;-97;-97,53426911880226;5,34269E+13;11;9459
;;;;;
532;-357;-357,45819730950416;4,58197E+13;33;9492
;;;;;
533;-106;-106,70200466375962;7,02005E+13;14;9506
;;;;;
534;-97;-97,57648881232231;5,76489E+13;11;9517
;;;;;
535;-281;-281,9112285691732;9,11229E+12;25;9542
;;;;;
536;-92;-92,12592470740904;1,25925E+13;10;9552
;;;;;
537;-121;-121,59615217174292;5,96152E+13;14;9566
;;;;;
538;-88;-88,17144382722492;1,71444E+13;10;9576
;;;;;
539;-88;-88,67343141169667;6,73431E+13;11;9587
;;;;;
540;-150;-150,1115081439333;1,11508E+12;18;9605
;;;;;
541;-88;-88,79355094653272;7,93551E+13;12;9617
;;;;;
542;-96;-96,59355951205777;5,9356E+13;12;9629
;;;;;
543;-131;-131,3293313855549;3,29331E+12;15;9644
;;;;;
544;-301;-301,22886474608106;2,28865E+13;22;9666
;;;;;
545;-92;-92,93320447734746;9,33204E+13;11;9677
;;;;;
546;-86;-86,21077915077097;2,10779E+13;12;9689
;;;;;
547;-105;-105,6943296915131;6,9433E+12;14;9703
;;;;;
548;-97;-97,22981260080161;2,29813E+13;9;9712
;;;;;
549;-84;-84,87571425654613;8,75714E+13;15;9727
;;;;;
550;-111;-111,20904613347494;2,09046E+13;12;9739
;;;;;
551;-86;-86,17637108230718;1,76371E+13;12;9751
;;;;;
552;-106;-106,72574848841012;7,25748E+13;14;9765
;;;;;
553;-113;-113,26039522863093;2,60395E+13;12;9777
;;;;;
554;-94;-94,9908364277822;9,90836E+12;12;9789
;;;;;
555;-97;-97,237341591839;2,37342E+11;13;9802
;;;;;
556;-101;-101,4203471811249;4,20347E+12;11;9813
;;;;;
557;-114;-114,2962335017449;2,96234E+12;12;9825
;;;;;
558;-92;-92,50926322186825;5,09263E+13;9;9834
;;;;;
559;-96;-96,23022502459284;2,30225E+13;12;9846
;;;;;
560;-113;-113,16973542756205;1,69735E+13;12;9858
;;;;;
561;-100;-100,57485553962334;5,74856E+13;12;9870
;;;;;
562;-131;-131,73388877611336;7,33889E+13;13;9883
;;;;;
563;-111;-111,2498351418021;2,49835E+12;14;9897
;;;;;
564;-85;-85,65190597080729;6,51906E+13;12;9909
;;;;;
565;-106;-106,71264020044234;7,1264E+13;11;9920
;;;;;
566;-378;-378,7730145116917;7,73015E+12;31;9951
;;;;;
567;-96;-96,92923612374281;9,29236E+13;11;9962
;;;;;
568;-98;-98,3029137741737;3,02914E+12;11;9973
;;;;;
569;-128;-128,2002775454183;2,00278E+12;14;9987
;;;;;
570;-109;-109,82043284296614;8,20433E+13;13;10000
;;;;;
571;-109;-109,78645025077296;7,8645E+13;13;10013
;;;;;
572;-110;-110,52443747444354;5,24437E+13;14;10027
;;;;;
573;-150;-150,86571738213678;8,65717E+13;17;10044
;;;;;
574;-101;-101,42276522519361;4,22765E+13;11;10055
;;;;;
575;-94;-94,71230703864421;7,12307E+13;10;10065
;;;;;
576;-105;-105,12022937272971;1,20229E+13;13;10078
;;;;;
577;-103;-103,69712746264975;6,97127E+13;17;10095
;;;;;
578;-111;-111,24241943910874;2,42419E+13;13;10108
;;;;;
579;-116;-116,57407681606571;5,74077E+13;14;10122
;;;;;
580;-122;-122,82706054599777;8,27061E+13;14;10136
;;;;;
581;-124;-124,29369599337895;2,93696E+13;14;10150
;;;;;
582;-184;-184,97836702689702;9,78367E+13;19;10169
;;;;;
583;-117;-117,90882446859388;9,08824E+13;17;10186
;;;;;
584;-113;-113,11902681554776;1,19027E+13;12;10198
;;;;;
585;-101;-101,37909047746965;3,7909E+13;11;10209
;;;;;
586;-281;-281,1784982063813;1,78498E+12;24;10233
;;;;;
587;-88;-88,5973726654378;5,97373E+12;10;10243
;;;;;
588;-86;-86,22200594825668;2,22006E+13;12;10255
;;;;;
589;-86;-86,27340200083512;2,73402E+13;12;10267
;;;;;
590;-112;-112,6440386833233;6,44039E+12;13;10280
;;;;;
591;-148;-148,97847911966602;9,78479E+13;15;10295
;;;;;
592;-96;-96,54414945472567;5,44149E+13;12;10307
;;;;;
593;-98;-98,72462662037853;7,24627E+13;10;10317
;;;;;
594;-106;-106,35648156131566;3,56482E+13;15;10332
;;;;;
595;-475;-475,1439654613255;1,43965E+12;31;10363
;;;;;
596;-98;-98,7181546400611;7,18155E+12;10;10373
;;;;;
597;-112;-112,28357771283984;2,83578E+13;13;10386
;;;;;
598;-140;-140,1434852647217;1,43485E+12;16;10402
;;;;;
599;-85;-85,99827179424943;9,98272E+13;12;10414
;;;;;
600;-131;-131,31811067230504;3,18111E+13;16;10430
;;;;;
601;-96;-96,50969922961485;5,09699E+13;12;10442
;;;;;
602;-123;-123,5328080871209;5,32808E+12;19;10461
;;;;;
603;-131;-131,1743815649354;1,74382E+12;18;10479
;;;;;
604;-108;-108,51968765758016;5,19688E+13;12;10491
;;;;;
605;-121;-121,48945254695019;4,89453E+13;17;10508
;;;;;
606;-86;-86,16989640935387;1,69896E+13;12;10520
;;;;;
607;-86;-86,21355501370647;2,13555E+13;12;10532
;;;;;
608;-116;-116,3883927316662;3,88393E+12;12;10544
;;;;;
609;-98;-98,70737877704218;7,07379E+13;10;10554
;;;;;
610;-110;-110,3923107150615;3,92311E+12;13;10568
;;;;;
611;-98;-98,68342445774744;6,83424E+13;10;10578
;;;;;
612;-98;-98,68094283129938;6,80943E+13;10;10588
;;;;;
613;-98;-98,72297260479289;7,22973E+13;10;10598
;;;;;
614;-117;-117,28552550287452;2,85526E+13;12;10610
;;;;;
615;-113;-113,95909997431934;9,591E+13;14;10624
;;;;;
616;-96;-96,48436154579016;4,84362E+13;12;10636
;;;;;
617;-84;-84,22092659239374;2,20927E+13;10;10646
;;;;;
618;-88;-88,62318170312156;6,23182E+13;11;10657
;;;;;
619;-81;-81,83432014671828;8,3432E+13;11;10668
;;;;;
620;-194;-194,38414881457908;3,84149E+13;92;10760
;;;;;
621;-96;-96,99909775345003;9,99098E+13;11;10771
;;;;;
622;-111;-111,4240872658317;4,24087E+12;15;10786
;;;;;
623;-93;-93,11227710780307;1,12277E+13;12;10798
;;;;;
624;-98;-98,7112417725019;7,11242E+12;10;10808
;;;;;
625;-96;-96,94379478818354;9,43795E+13;11;10819
;;;;;
626;-121;-121,3424522196893;3,42452E+12;13;10832
;;;;;
627;-94;-94,16346454425891;1,63465E+13;13;10845
;;;;;
628;-97;-97,73360558425478;7,33606E+13;8;10853
;;;;;
629;-92;-92,16267282786742;1,62673E+13;10;10863
;;;;;
630;-99;-99,64042737552853;6,40427E+13;10;10873
;;;;;
631;-128;-128,2324499608346;2,3245E+12;16;10889
;;;;;
632;-92;-92,14093113454447;1,40931E+13;10;10899
;;;;;
633;-97;-97,49680100911954;4,96801E+13;11;10910
;;;;;
634;-93;-93,1037121568167;1,03712E+12;12;10922
;;;;;
635;-115;-115,42063330216413;4,20633E+13;11;10933
;;;;;
636;-86;-86,19943366762669;1,99434E+13;12;10945
;;;;;
637;-144;-144,40133988749142;4,0134E+13;21;10966
;;;;;
638;-121;-121,61400678336457;6,14007E+13;14;10980
;;;;;
639;-99;-99,28171856125383;2,81719E+13;12;10992
;;;;;
640;-89;-89,5815720784224;5,81572E+12;13;11005
;;;;;
641;-86;-86,24136961672431;2,4137E+13;12;11017
;;;;;
642;-131;-131,1546590445596;1,54659E+12;17;11034
;;;;;
643;-118;-118,75568834771315;7,55688E+13;15;11049
;;;;;
644;-105;-105,22969794004624;2,29698E+13;15;11064
;;;;;
645;-86;-86,16714098641077;1,67141E+13;12;11076
;;;;;
646;-98;-98,86394453644598;8,63945E+13;9;11085
;;;;;
647;-159;-159,24002836183254;2,40028E+13;19;11104
;;;;;
648;-86;-86,20138020690058;2,0138E+13;12;11116
;;;;;
649;-97;-97,15765386951708;1,57654E+13;9;11125
;;;;;
650;-113;-113,16073604593686;1,60736E+13;15;11140
;;;;;
651;-110;-110,58190564700922;5,81906E+13;14;11154
;;;;;
652;-102;-102,6117462984067;6,11746E+12;15;11169
;;;;;
653;-189;-189,25590391125758;2,55904E+13;18;11187
;;;;;
654;-139;-139,57443093972694;5,74431E+13;16;11203
;;;;;
655;-92;-92,13158138693606;1,31581E+13;10;11213
;;;;;
656;-86;-86,18383010509231;1,8383E+13;12;11225
;;;;;
657;-108;-108,44469790611296;4,44698E+13;16;11241
;;;;;
658;-143;-143,7015649664589;7,01565E+12;22;11263
;;;;;
659;-93;-93,60763216401901;6,07632E+13;11;11274
;;;;;
660;-96;-96,35381421123242;3,53814E+13;9;11283
;;;;;
661;-140;-140,4270786831541;4,27079E+12;16;11299
;;;;;
662;-84;-84,21294854190154;2,12949E+13;14;11313
;;;;;
663;-98;-98,72037316337713;7,20373E+13;10;11323
;;;;;
664;-115;-115,41053149351555;4,10531E+13;11;11334
;;;;;
665;-86;-86,2679750075147;2,67975E+12;12;11346
;;;;;
666;-94;-94,87667290819911;8,76673E+13;12;11358
;;;;;
667;-105;-105,97027857161717;9,70279E+13;12;11370
;;;;;
668;-86;-86,1866000318729;1,866E+12;12;11382
;;;;;
669;-86;-86,15056001781846;1,5056E+13;12;11394
;;;;;
670;-139;-139,78662533813056;7,86625E+13;14;11408
;;;;;
671;-98;-98,71680199782676;7,16802E+13;10;11418
;;;;;
672;-100;-100,99125012990916;9,9125E+13;13;11431
;;;;;
673;-288;-288,22917178032094;2,29172E+13;30;11461
;;;;;
674;-106;-106,50074137894575;5,00741E+13;12;11473
;;;;;
675;-106;-106,86885961153047;8,6886E+13;15;11488
;;;;;
676;-111;-111,6560520482692;6,56052E+12;13;11501
;;;;;
677;-350;-350,7381640640899;7,38164E+12;34;11535
;;;;;
678;-215;-215,122457838218;1,22458E+11;20;11555
;;;;;
679;-136;-136,8609230624846;8,60923E+12;15;11570
;;;;;
680;-111;-111,32629038770793;3,2629E+13;14;11584
;;;;;
681;-106;-106,42368748691177;4,23687E+13;13;11597
;;;;;
682;-86;-86,37824833306067;3,78248E+13;12;11609
;;;;;
683;-108;-108,4108533726009;4,10853E+12;11;11620
;;;;;
684;-124;-124,2938363484052;2,93836E+12;11;11631
;;;;;
685;-99;-99,18068963071127;1,8069E+13;14;11645
;;;;;
686;-388;-388,4160931645025;4,16093E+12;28;11673
;;;;;
687;-89;-89,63378489114692;6,33785E+13;12;11685
;;;;;
688;-86;-86,12853837807339;1,28538E+13;12;11697
;;;;;
689;-110;-110,58289602481557;5,82896E+13;14;11711
;;;;;
690;-100;-100,58449909013106;5,84499E+13;12;11723
;;;;;
691;-109;-109,75151498473966;7,51515E+13;12;11735
;;;;;
692;-96;-96,59978423555629;5,99784E+13;12;11747
;;;;;
693;-111;-111,21640319231787;2,16403E+13;14;11761
;;;;;
694;-127;-127,93218167002166;9,32182E+13;14;11775
;;;;;
695;-121;-121,64292069728529;6,42921E+13;13;11788
;;;;;
696;-92;-92,985424868806;9,85425E+11;10;11798
;;;;;
697;-124;-124,30699188669041;3,06992E+13;14;11812
;;;;;
698;-109;-109,7550155644222;7,55016E+12;13;11825
;;;;;
699;-97;-97,77842031586198;7,7842E+13;8;11833
;;;;;
700;-86;-86,15157407380886;1,51574E+13;12;11845
;;;;;
701;-111;-111,34350162430027;3,43502E+13;14;11859
;;;;;
702;-86;-86,13879324937531;1,38793E+13;12;11871
;;;;;
703;-134;-134,65633488236307;6,56335E+13;15;11886
;;;;;
704;-92;-92,98537346423089;9,85373E+13;12;11898
;;;;;
705;-97;-97,149705870038;1,49706E+11;11;11909
;;;;;
706;-110;-110,87268652204315;8,72687E+13;12;11921
;;;;;
707;-98;-98,80244489531773;8,02445E+13;12;11933
;;;;;
708;-109;-109,73757036845296;7,3757E+13;12;11945
;;;;;
709;-108;-108,91906276959892;9,19063E+13;14;11959
;;;;;
710;-111;-111,9806758419057;9,80676E+12;14;11973
;;;;;
711;-96;-96,59049745212818;5,90497E+13;12;11985
;;;;;
712;-86;-86,27194259710251;2,71943E+13;12;11997
;;;;;
713;-119;-119,51349258447019;5,13493E+13;20;12017
;;;;;
714;-121;-121,50794394360886;5,07944E+13;14;12031
;;;;;
715;-94;-94,90667617071423;9,06676E+13;12;12043
;;;;;
716;-103;-103,49909234568185;4,99092E+13;10;12053
;;;;;
717;-92;-92,42307266690688;4,23073E+13;9;12062
;;;;;
718;-86;-86,21104236011104;2,11042E+13;12;12074
;;;;;
719;-86;-86,16503000101784;1,6503E+13;12;12086
;;;;;
720;-97;-97,21979287545571;2,19793E+13;9;12095
;;;;;
721;-98;-98,71761126083851;7,17611E+13;10;12105
;;;;;
722;-102;-102,56613479281069;5,66135E+13;20;12125
;;;;;
723;-126;-126,76006923176604;7,60069E+13;16;12141
;;;;;
724;-122;-122,85413784765345;8,54138E+13;16;12157
;;;;;
725;-96;-96,47622620948405;4,76226E+13;12;12169
;;;;;
726;-86;-86,23920086008576;2,39201E+13;12;12181
;;;;;
727;-97;-97,5089862369044;5,08986E+12;11;12192
;;;;;
728;-92;-92,48636911123381;4,86369E+13;18;12210
;;;;;
729;-84;-84,34711874964191;3,47119E+13;14;12224
;;;;;
730;-88;-88,62905015980905;6,2905E+13;11;12235
;;;;;
731;-111;-111,34880063325312;3,48801E+13;14;12249
;;;;;
732;-99;-99,17920763094358;1,79208E+13;14;12263
;;;;;
733;-96;-96,55347400548627;5,53474E+13;12;12275
;;;;;
734;-86;-86,47682880982231;4,76829E+13;16;12291
;;;;;
735;-110;-110,69685458892602;6,96855E+13;20;12311
;;;;;
736;-97;-97,69231093256644;6,92311E+13;10;12321
;;;;;
737;-192;-192,40304743036594;4,03047E+13;20;12341
;;;;;
738;-109;-109,11090461132409;1,10905E+13;21;12362
;;;;;
739;-98;-98,72438210427086;7,24382E+13;10;12372
;;;;;
740;-100;-100,48080818645604;4,80808E+13;12;12384
;;;;;
741;-111;-111,56200865534822;5,62009E+13;11;12395
;;;;;
742;-92;-92,50808732043458;5,08087E+13;10;12405
;;;;;
743;-95;-95,36234031351967;3,6234E+13;10;12415
;;;;;
744;-202;-202,26512840217347;2,65128E+13;29;12444
;;;;;
745;-98;-98,75193122869808;7,51931E+13;10;12454
;;;;;
746;-109;-109,73373094871897;7,33731E+13;12;12466
;;;;;
747;-118;-118,315021057309;3,15021E+11;17;12483
;;;;;
748;-92;-92,39647647037447;3,96476E+13;18;12501
;;;;;
749;-162;-162,9113202704747;9,1132E+12;22;12523
;;;;;
750;-108;-108,19111717161778;1,91117E+13;11;12534
;;;;;
751;-98;-98,69080576861785;6,90806E+13;10;12544
;;;;;
752;-86;-86,37995681488283;3,79957E+13;16;12560
;;;;;
753;-98;-98,71550036808424;7,155E+13;10;12570
;;;;;
754;-116;-116,291050718441;2,91051E+11;12;12582
;;;;;
755;-102;-102,49908914411566;4,99089E+13;20;12602
;;;;;
756;-97;-97,28524167888611;2,85242E+13;11;12613
;;;;;
757;-127;-127,18701616763553;1,87016E+13;14;12627
;;;;;
758;-109;-109,66980358257206;6,69804E+13;12;12639
;;;;;
759;-224;-224,5067172035403;5,06717E+12;29;12668
;;;;;
760;-98;-98,72079748989688;7,20797E+13;10;12678
;;;;;
761;-140;-140,25607766698656;2,56078E+13;16;12694
;;;;;
762;-98;-98,7082729564284;7,08273E+12;10;12704
;;;;;
763;-133;-133,28145414462267;2,81454E+13;14;12718
;;;;;
764;-142;-142,8133281491094;8,13328E+12;17;12735
;;;;;
765;-98;-98,70709070980746;7,07091E+13;10;12745
;;;;;
766;-149;-149,37348040226374;3,7348E+13;16;12761
;;;;;
767;-98;-98,69811054021127;6,98111E+13;10;12771
;;;;;
768;-98;-98,71117976638504;7,1118E+13;10;12781
;;;;;
769;-119;-119,54622222496732;5,46222E+13;16;12797
;;;;;
770;-96;-96,62341702379956;6,23417E+13;12;12809
;;;;;
771;-88;-88,62581697946365;6,25817E+13;11;12820
;;;;;
772;-94;-94,98838922743019;9,88389E+13;12;12832
;;;;;
773;-88;-88,66587888285807;6,65879E+13;11;12843
;;;;;
774;-86;-86,20556664747798;2,05567E+13;12;12855
;;;;;
775;-94;-94,94334564492686;9,43346E+13;12;12867
;;;;;
776;-129;-129,68036773041604;6,80368E+13;20;12887
;;;;;
777;-96;-96,35925717125542;3,59257E+13;9;12896
;;;;;
778;-84;-84,65805690602585;6,58057E+13;13;12909
;;;;;
779;-98;-98,72295855662287;7,22959E+13;10;12919
;;;;;
780;-116;-116,86457296688525;8,64573E+13;12;12931
;;;;;
781;-113;-113,8961101632517;8,9611E+12;13;12944
;;;;;
782;-102;-102,23241560797075;2,32416E+13;13;12957
;;;;;
783;-88;-88,87390900555394;8,73909E+13;12;12969
;;;;;
784;-86;-86,17145482545794;1,71455E+13;12;12981
;;;;;
785;-98;-98,71203441490928;7,12034E+13;10;12991
;;;;;
786;-107;-107,9737459173457;9,73746E+12;12;13003
;;;;;
787;-93;-93,40393629905097;4,03936E+13;13;13016
;;;;;
788;-124;-124,87607285536725;8,76073E+13;14;13030
;;;;;
789;-84;-84,7170163694309;7,17016E+12;13;13043
;;;;;
790;-125;-125,24765986131047;2,4766E+13;16;13059
;;;;;
791;-118;-118,83290808746924;8,32908E+13;12;13071
;;;;;
792;-98;-98,68625766944191;6,86258E+13;10;13081
;;;;;
793;-86;-86,1410828548326;1,41083E+12;12;13093
;;;;;
794;-99;-99,7796183774724;7,79618E+12;12;13105
;;;;;
795;-112;-112,31217741784943;3,12177E+13;17;13122
;;;;;
796;-96;-96,35928907516478;3,59289E+13;9;13131
;;;;;
797;-116;-116,6153181724286;6,15318E+12;22;13153
;;;;;
798;-102;-102,46311137607563;4,63111E+13;13;13166
;;;;;
799;-116;-116,85310358403618;8,53104E+13;12;13178
;;;;;
800;-88;-88,64664517682766;6,46645E+13;11;13189
;;;;;
801;-753;-753,23881423454;23881423454;40;13229
;;;;;
802;-100;-100,9387280294415;9,38728E+12;12;13241
;;;;;
803;-121;-121,68779132680808;6,87791E+13;14;13255
;;;;;
804;-99;-99,78395734521251;7,83957E+13;14;13269
;;;;;
805;-183;-183,35712760039817;3,57128E+13;26;13295
;;;;;
806;-96;-96,6113528376356;6,11353E+12;13;13308
;;;;;
807;-164;-164,73616894443106;7,36169E+13;16;13324
;;;;;
808;-93;-93,24848459907426;2,48485E+13;12;13336
;;;;;
809;-111;-111,71819418519618;7,18194E+13;13;13349
;;;;;
810;-92;-92,12385568766797;1,23856E+13;10;13359
;;;;;
811;-98;-98,72121285641981;7,21213E+13;10;13369
;;;;;
812;-98;-98,69482000577591;6,9482E+13;10;13379
;;;;;
813;-97;-97,86196570876257;8,61966E+13;9;13388
;;;;;
814;-121;-121,78730322563345;7,87303E+13;12;13400
;;;;;
815;-98;-98,73958905298588;7,39589E+13;10;13410
;;;;;
816;-98;-98,78522347896774;7,85223E+13;12;13422
;;;;;
817;-96;-96,99486232636713;9,94862E+13;11;13433
;;;;;
818;-235;-235,45510720792535;4,55107E+13;19;13452
;;;;;
819;-98;-98,7228722381233;7,22872E+12;10;13462
;;;;;
820;-98;-98,70222948238683;7,02229E+13;10;13472
;;;;;
821;-98;-98,70847389875726;7,08474E+13;10;13482
;;;;;
822;-84;-84,1911462833462;1,91146E+12;14;13496
;;;;;
823;-115;-115,4641952111794;4,64195E+12;11;13507
;;;;;
824;-98;-98,71017806723287;7,10178E+13;10;13517
;;;;;
825;-90;-90,34314603235458;3,43146E+13;13;13530
;;;;;
826;-98;-98,69444400066277;6,94444E+13;10;13540
;;;;;
827;-97;-97,70928973598643;7,0929E+13;10;13550
;;;;;
828;-98;-98,72681485339831;7,26815E+13;10;13560
;;;;;
829;-100;-100,58754409473087;5,87544E+13;12;13572
;;;;;
830;-96;-96,59598809720549;5,95988E+13;12;13584
;;;;;
831;-97;-97,70754128074071;7,07541E+13;10;13594
;;;;;
832;-86;-86,16169294008247;1,61693E+13;12;13606
;;;;;
833;-96;-96,54649686760962;5,46497E+13;12;13618
;;;;;
834;-109;-109,63874214921711;6,38742E+13;12;13630
;;;;;
835;-120;-120,59483492690745;5,94835E+13;14;13644
;;;;;
836;-92;-92,3100104870378;3,1001E+12;12;13656
;;;;;
837;-98;-98,68769314528399;6,87693E+13;10;13666
;;;;;
838;-121;-121,57013386287935;5,70134E+13;14;13680
;;;;;
839;-111;-111,3178981862799;3,17898E+12;14;13694
;;;;;
840;-102;-102,69486185612564;6,94862E+13;17;13711
;;;;;
841;-115;-115,53433643680651;5,34336E+13;11;13722
;;;;;
