,episode_reward,nb_episode_steps,nb_steps
123,-142.54974954812988,47,6906
124,-100.30845250007414,64,6970
125,-100.59887782880133,72,7042
126,-100.34738663743944,46,7088
127,-100.48947103967289,52,7140
128,-100.41015835201158,67,7207
129,-100.05466804266547,110,7317
130,-100.99472011837769,78,7395
131,-101.6141203330563,15,7410
132,-112.58443621938984,21,7431
133,-100.13991323604166,155,7586
134,-111.22581060360292,24,7610
135,-101.05563305740851,81,7691
136,-170.19990306413973,61,7752
137,-105.4630847180512,20,7772
138,-116.64264679260475,26,7798
139,-111.95619880792647,23,7821
140,-100.61718890212657,181,8002
141,-100.60989604144794,70,8072
142,-136.21156302695874,46,8118
143,-199.59645283667817,14,8132
144,-109.9651269439793,20,8152
145,-101.45973525418242,100,8252
146,-101.1592758038243,127,8379
147,-165.19961130389063,71,8450
148,-109.51556691685695,24,8474
149,-110.03878625097039,20,8494
150,-101.2158419321649,118,8612
151,-118.08885074608897,29,8641
152,-170.19993347098654,66,8707
153,-109.97377164987525,20,8727
154,5.8546736974547855,200,8927
155,-100.29372834344153,14,8941
156,-124.60407336364506,34,8975
157,-100.44246173901526,66,9041
158,-113.15619452695599,23,9064
159,-113.35985831080768,21,9085
160,-110.91598906882608,24,9109
161,-103.69511299090719,19,9128
162,-133.64260152365006,45,9173
163,-100.38082798483981,145,9318
164,-100.43586312845036,137,9455
165,-125.88533803441787,44,9499
166,-101.17951688890523,12,9511
167,-100.16324207269477,98,9609
168,-100.96805663232819,119,9728
169,-100.08080033949997,162,9890
170,-184.65430040177824,81,9971
171,-100.09900849226501,92,10063
172,-104.02444348193062,134,10197
173,-100.73414954586151,164,10361
174,-105.51418818121577,17,10378
175,-100.06697883919814,76,10454
176,-142.06273978383354,54,10508
177,-100.29612567452125,168,10676
178,-110.54037575540481,25,10701
179,-102.53980665655155,169,10870
180,-155.78140822702062,67,10937
181,-129.70936593147482,35,10972
182,-116.45716480038637,27,10999
183,-168.72879977231395,64,11063
184,-100.95853871730547,181,11244
185,-100.76333171220148,161,11405
186,-100.99572991657969,97,11502
187,-100.30370807562079,153,11655
188,-102.16669460853697,176,11831
189,-100.99022829144614,112,11943
190,-104.78303766235544,16,11959
191,-101.97592250101683,16,11975
192,-102.70821992837625,175,12150
193,-112.69622099472059,23,12173
194,-100.87833259793287,188,12361
195,-113.97731460987484,30,12391
196,-102.44078236614969,156,12547
197,-100.92009138167468,112,12659
198,-117.74409690158765,30,12689
199,-100.71422673847185,120,12809
200,-116.74936623558936,24,12833
201,-102.88993973927565,19,12852
202,-104.2643783033844,17,12869
203,-100.64395094839786,14,12883
204,-103.49725015057764,17,12900
205,-121.93299957737102,32,12932
206,-100.92304356004422,190,13122
207,-122.93496348713573,38,13160
208,-102.24990470579021,145,13305
209,-101.84807239207751,126,13431
210,-114.99651180682416,22,13453
211,-111.65887028840866,25,13478
212,-100.67019677333793,92,13570
213,-101.60859006686188,151,13721
214,-101.42947583155483,89,13810
215,-117.21086533067675,31,13841
216,-100.98727289155059,112,13953
217,-102.04597186037371,84,14037
218,-110.04258128124452,20,14057
219,-100.54341030293055,119,14176
220,-113.57771653430825,26,14202
221,-123.88079251463337,34,14236
222,-108.47787268566998,24,14260
223,-100.28838821453354,179,14439
224,-105.67630074789078,16,14455
225,-199.79407125748378,14,14469
226,-107.67858844895039,16,14485
227,-106.29920965489514,15,14500
228,87.73140176992412,118,14618
229,-102.99295926433197,17,14635
230,-121.25297488938324,29,14664
231,-100.93402289654043,196,14860
232,-100.37981867432373,172,15032
233,-199.04944129976934,15,15047
234,-100.9754429664009,174,15221
235,-112.03497214244271,27,15248
236,-104.98786307545693,21,15269
237,-100.41919269979358,204,15473
238,-100.04094540121993,140,15613
239,-120.29634421592172,74,15687
240,-195.45745748007786,8,15695
241,-104.28495707816812,18,15713
242,-117.09033398204843,31,15744
243,102.35910777196221,103,15847
244,-101.96921634523336,15,15862
245,-100.13749249294199,151,16013
246,-123.7350150664468,33,16046
247,-101.45176264184427,15,16061
248,-100.83124679408283,175,16236
249,-100.14922767545212,190,16426
250,-112.79972567383882,25,16451
251,-101.58053260789546,194,16645
252,-197.99110447179353,16,16661
253,-120.95514347615867,33,16694
254,-102.0155756417636,199,16893
255,-100.23268429498208,192,17085
256,-100.01133250277447,201,17286
257,-131.6538594220604,46,17332
258,38.80434980646722,166,17498
259,-100.47653482786978,195,17693
260,-100.93074725639545,139,17832
261,-106.43564449808625,15,17847
262,-100.17493755447813,195,18042
263,-116.08173989865165,29,18071
264,88.2718426962104,118,18189
265,-101.51416039412678,189,18378
266,-197.74472169143138,10,18388
267,-100.71165726272028,182,18570
268,-100.39654446410908,187,18757
269,-100.78314451742543,205,18962
270,-100.12560575807427,13,18975
271,-100.17967849298277,16,18991
272,-100.13893216547004,15,19006
273,138.1577744908218,68,19074
274,-104.63807594632779,18,19092
275,-110.07700883228954,19,19111
276,-199.60332235334653,16,19127
277,-100.19649580507065,135,19262
278,-106.53714540203086,20,19282
279,-100.43561950659605,190,19472
280,-100.44026276816524,178,19650
281,-117.71149655155335,67,19717
282,-100.0353740119762,185,19902
283,35.653119463531326,170,20072
284,-196.14668173877453,11,20083
285,-104.40140710195466,15,20098
286,-100.17504264644504,15,20113
287,63.77034746835069,142,20255
288,97.36715500772169,108,20363
289,23.47487767678342,183,20546
290,-124.83101615625587,39,20585
291,-113.8993234263496,24,20609
292,-100.45827705385472,12,20621
293,-107.83449675434885,22,20643
294,-102.23684695942956,177,20820
295,-199.23978122272325,18,20838
296,-147.949548762662,43,20881
297,-198.23671775837622,12,20893
298,-100.2147714607016,156,21049
299,70.77312237188966,134,21183
300,-105.21601655150184,19,21202
301,-101.15338645341977,16,21218
302,-104.86235077649607,23,21241
303,-100.06823538918884,13,21254
304,-105.65810538539219,18,21272
305,-100.04314820192019,183,21455
306,-105.05370645442443,16,21471
307,15.028153927472886,190,21661
308,-114.36534605360309,29,21690
309,-107.86590953223245,22,21712
310,-100.7409832394835,176,21888
311,-101.0201898046779,175,22063
312,-100.07875403989073,195,22258
313,-107.84568578645263,21,22279
314,-105.2546282983287,62,22341
315,-100.37688164391164,189,22530
316,-101.11046427980041,181,22711
317,109.71371684795204,96,22807
318,97.07271274437551,108,22915
319,-113.11331719979569,23,22938
320,-100.65369833851831,12,22950
321,-157.8994471330052,56,23006
322,-107.21393096844146,21,23027
323,-119.5782710285461,32,23059
324,56.17627454615272,149,23208
325,-127.86772392775752,41,23249
326,131.0584368021354,75,23324
327,131.0697872301858,75,23399
328,61.4349662704471,145,23544
329,-117.04992162168803,32,23576
330,81.07000921171137,124,23700
331,-114.48855358572621,30,23730
332,-112.75678785305712,22,23752
333,141.43413663066377,64,23816
334,-165.80756262943146,64,23880
335,129.7240931452917,76,23956
336,-105.55000001096553,18,23974
337,47.457456596017266,159,24133
338,-197.2692164283829,13,24146
339,89.41244155009322,117,24263
340,-103.73727017099425,20,24283
341,125.55741895518653,81,24364
